Gene	SJHBBBM4X52	SJHBBBM4JQZ	SJHBBBM5SGJ	SJHBBBM5TXY	SJHBBBM2GV5	SJHBBBM39BT	SJHBBBM67H6	SJHBBBM2BBR	SJHBBBN9RBJ	SJHBBBM4PX3	SJHBBBN9RDM	SJHBBBN9R9H	SJHBBBM588V	SJHBBBN9RFN	SJHBBBM55F5	SJHBBBM5GW9	SJHBBBM5PY5	SJHBBBM52XR	SJHBBBM5YWS
A1BG	117	82	110	64	114	68	133	215	57	44	62	49	27	33	80	79	36	117	99
A1BG-AS1	901	1208	1243	591	1894	1115	1153	1741	638	419	748	606	312	385	457	1205	391	909	676
A1CF	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	89	467	22	528	592	574	755	260	492	346	120	64	198	253	58	81	287	4	7
A2M-AS1	36	396	577	8	268	538	177	241	63	146	43	7	170	8	2	32	59	25	3
A2ML1	8	6	0	12	39	112	2	0	1	0	1	2	0	2	0	1	2	0	3
A2ML1-AS1	2	0	3	1	8	2	2	3	0	3	0	2	1	0	0	0	0	1	1
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	6	31	2	30	54	13	2	0	0	0	0	2	0	0	0	1	0	0	1
A3GALT2	10	16	12	35	8	8	41	6	27	5	7	17	1	7	2	3	15	16	27
A4GALT	127	6	7	23	229	22	10	44	3	5	30	218	0	158	5	6	43	121	46
A4GNT	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	2594	2111	2489	1782	7432	2958	2213	5423	1373	1868	1210	1884	925	1822	1279	2559	1109	3005	759
AACS	533	236	163	329	1635	992	652	874	424	133	923	373	458	292	393	894	117	714	219
AACSP1	14	1	7	47	67	11	2	3	1	3	0	6	4	1	0	0	0	0	0
AADAC	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	126	21	6	233	253	72	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	120	109	151	1601	1479	219	1	1	184	0	5	7	0	36	0	4	0	4	0
AAED1	490	104	33	357	219	185	364	417	653	14	155	54	5	106	6	54	70	86	1116
AAGAB	1730	1671	1634	1270	3721	1985	1508	2348	635	1185	1030	1118	332	765	584	1780	591	1584	852
AAK1	4306	3712	1816	4267	3852	2036	9866	10700	5465	2297	4322	3500	1656	2041	2266	4065	2242	5485	3992
AAMDC	243	284	179	161	847	241	301	704	221	214	114	292	155	326	150	312	143	255	52
AAMP	3606	4268	4346	4240	8126	4386	4520	9706	4731	2713	3093	4101	1553	2517	2443	4335	2508	4253	3200
AANAT	2	2	5	10	7	1	4	6	4	1	3	5	2	0	2	3	0	2	1
AAR2	945	1266	1647	1339	2594	1522	1141	2495	862	955	1113	982	426	656	564	1358	716	1740	905
AARD	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AARS	5007	6454	12037	3578	11236	7080	2176	15001	1086	7960	1004	2511	1465	2739	3285	6655	1001	2355	512
AARS2	1985	1979	1875	1343	5611	2623	3009	5800	1101	1689	1293	1231	921	1237	982	1806	897	1684	764
AARSD1	204	220	306	133	313	210	165	605	112	158	126	115	68	120	109	150	99	168	53
AARSP1	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
AASDH	846	864	1301	489	1511	1028	673	2658	339	887	584	622	444	368	670	1146	407	617	112
AASDHPPT	1713	2469	2270	2339	2804	2627	1039	3981	580	1470	1732	1325	327	629	741	1322	922	898	271
AASS	2097	2439	3123	2214	5481	1543	3745	2194	1029	1095	2015	1295	909	1365	819	1831	1495	116	762
AATBC	28	9	13	0	7	3	99	842	45	18	52	106	81	51	180	127	78	87	8
AATF	3146	3777	3469	2503	7950	3775	2581	9575	3522	1598	2431	3879	1570	3010	2091	4286	1975	4240	1614
AATK	238	59	259	41	167	1516	8	9	27	5	16	10	27	16	4	24	6	4	1
AATK-AS1	4	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
AB015752.3	4	1	1	3	0	0	0	0	4	0	0	0	1	0	1	1	0	1	0
AB019438.66	6	5	5	30	384	13	0	0	0	1	0	0	0	0	0	1	0	8	1
AB019440.50	7	4	0	0	1	1	0	12	0	9	2	3	0	4	2	5	0	9	1
AB019441.29	88	160	32	105	327	115	85	136	151	53	91	122	46	102	50	67	54	257	134
ABALON	12	8	9	12	19	4	3	5	3	2	3	2	3	5	3	5	0	5	1
ABAT	1061	1200	1950	1058	2007	824	944	817	450	386	458	590	269	326	299	644	348	516	192
ABC12-47043100G14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-47964100C23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-49244600F4.4	10	4	25	9	15	0	1	16	5	6	2	1	2	1	1	7	3	2	2
ABC14-1188822O7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-42391500H16.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
