,SJHBBBM4X52,SJHBBBM4JQZ,SJHBBBM5SGJ,SJHBBBM5TXY,SJHBBBM2GV5,SJHBBBM39BT,SJHBBBM67H6,SJHBBBM2BBR,SJHBBBN9RBJ,SJHBBBM4PX3,SJHBBBN9RDM,SJHBBBN9R9H,SJHBBBM588V,SJHBBBN9RFN,SJHBBBM55F5,SJHBBBM5GW9,SJHBBBM5PY5,SJHBBBM52XR,SJHBBBM5YWS
ENSG00000186092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187634,3,0,0,6,9,1,24,2,24,2,3,2,3,5,11,0,7,3,1
ENSG00000188976,3785,3524,3861,2710,11324,4393,4119,8499,3053,2708,1970,3239,1506,3098,2188,4012,1707,5557,2273
ENSG00000187961,756,495,193,898,2269,883,934,1311,514,412,336,542,238,329,188,871,196,1225,400
ENSG00000187583,13,7,11,8,2,4,3,6,8,3,8,4,0,9,1,5,1,11,2
ENSG00000187642,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188290,14,2,3,3,5,8,7,0,6,1,3,17,2,27,1,10,2,4,34
ENSG00000187608,950,1338,3391,1884,4458,806,632,829,1231,624,386,1839,100,680,194,632,179,2975,454
ENSG00000188157,2160,825,2057,6019,6371,2180,1551,718,993,433,1243,1205,244,913,161,711,296,1671,1088
ENSG00000237330,1,1,0,4,0,0,19,0,0,0,1,2,1,1,0,0,2,5,1
ENSG00000131591,1045,1387,1025,1931,1971,1410,2088,2062,904,498,679,1073,331,608,471,983,697,1285,533
ENSG00000162571,3,0,0,2,0,1,1,4,0,1,3,1,0,1,0,3,0,2,0
ENSG00000186891,99,31,12,35,24,11,108,23,69,5,22,48,14,24,12,138,5,91,15
ENSG00000186827,111,37,18,35,37,17,95,21,42,12,27,14,7,30,1,67,10,53,67
ENSG00000078808,4768,4216,4123,3034,11563,4870,4947,6965,2395,2382,2339,2856,1378,2375,1738,4809,1660,4012,1772
ENSG00000176022,851,1141,931,464,2745,1099,883,1743,185,647,205,299,302,355,479,1098,251,467,134
ENSG00000184163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000160087,2717,2709,2307,1613,7452,2952,2114,4467,599,1327,695,950,739,1047,890,2505,550,1607,382
ENSG00000162572,1618,1185,1071,3169,2361,1652,3232,2561,2146,1068,1341,1582,909,1134,513,1165,892,1981,481
ENSG00000131584,4773,4477,3188,5612,9084,5588,13693,11346,5794,3578,5586,7371,2616,4621,2835,6439,4002,10480,2852
ENSG00000169972,230,176,246,126,566,270,217,422,137,171,62,163,84,172,119,304,79,353,243
ENSG00000127054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224051,685,753,763,477,2058,876,363,1115,113,353,232,232,128,259,291,740,117,280,74
ENSG00000169962,409,280,287,591,544,401,236,306,140,108,180,125,40,92,55,179,102,154,21
ENSG00000107404,1518,1503,1087,1529,3856,1656,3579,4287,1847,831,1310,2065,905,1191,890,1377,889,3026,1391
ENSG00000162576,5,9,7,24,14,6,12,1,4,0,8,8,0,13,0,14,10,496,169
ENSG00000175756,1686,1414,1407,1484,4537,1991,1815,3212,1223,1299,869,1537,608,1293,810,1784,745,2456,1077
ENSG00000221978,13545,21921,19185,17531,31484,17977,17702,19290,7891,4894,10884,10734,4130,8332,4545,10045,6993,20358,9177
ENSG00000242485,1958,1825,2350,1198,4606,2428,1483,3215,889,1145,814,943,369,917,793,1783,486,2151,885
ENSG00000235098,1,1,0,1,0,0,5,1,3,0,0,0,2,3,0,1,0,6,1
ENSG00000205116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000179403,3,8,0,3,2,9,24,8,34,0,9,6,8,16,22,0,0,37,9
ENSG00000215915,7,7,3,2,14,1,7,4,4,1,4,4,4,5,0,9,4,6,3
ENSG00000160072,3013,3052,2870,3139,7904,3427,5199,5475,3132,1697,3019,3070,1078,1790,1183,2806,1723,4829,4200
ENSG00000197785,1309,1023,1173,1119,4060,1429,1559,3144,927,981,621,1246,489,844,669,1295,606,1967,776
ENSG00000205090,27,26,16,45,39,60,156,128,20,9,57,60,32,4,33,44,30,12,3
ENSG00000160075,4067,4135,3875,4182,10380,5085,4304,7356,2261,2544,2741,2921,1343,2167,1707,3841,1726,4233,1942
