,length
ENSG00000186092,2618
ENSG00000284733,939
ENSG00000284662,995
ENSG00000187634,4172
ENSG00000188976,5540
ENSG00000187961,3402
ENSG00000187583,3451
ENSG00000187642,3424
ENSG00000188290,1118
ENSG00000187608,867
ENSG00000188157,10761
ENSG00000237330,1900
ENSG00000131591,6322
ENSG00000162571,3998
ENSG00000186891,1271
ENSG00000186827,1722
ENSG00000078808,4744
ENSG00000176022,2805
ENSG00000184163,1794
ENSG00000160087,4691
ENSG00000162572,4025
ENSG00000131584,8707
ENSG00000169972,2459
ENSG00000127054,8216
ENSG00000224051,2555
ENSG00000169962,3475
ENSG00000107404,3882
ENSG00000162576,3622
ENSG00000175756,1669
ENSG00000221978,6857
ENSG00000242485,2767
ENSG00000235098,2644
ENSG00000205116,492
ENSG00000179403,5065
ENSG00000215915,3981
ENSG00000160072,7686
ENSG00000197785,3344
ENSG00000205090,2009
ENSG00000160075,6919
ENSG00000228594,2124
ENSG00000197530,8767
ENSG00000189409,2205
ENSG00000248333,3490
ENSG00000189339,8462
ENSG00000008128,5085
ENSG00000008130,5570
ENSG00000078369,6417
ENSG00000169885,2040
ENSG00000178821,1600
ENSG00000142609,10422
ENSG00000187730,5525
ENSG00000067606,7695
ENSG00000162585,10916
ENSG00000157933,6550
ENSG00000116151,11337
ENSG00000157916,5689
ENSG00000157911,3782
ENSG00000149527,10809
ENSG00000157881,5072
ENSG00000197921,1324
ENSG00000157873,6214
ENSG00000157870,3371
ENSG00000142606,3870
ENSG00000215912,8814
ENSG00000169717,1437
ENSG00000142611,9767
ENSG00000130762,5324
ENSG00000162591,9021
ENSG00000158109,2401
ENSG00000116213,7634
ENSG00000078900,6767
ENSG00000162592,4238
ENSG00000235169,993
ENSG00000130764,4509
ENSG00000116198,11885
ENSG00000169598,3870
ENSG00000198912,4883
ENSG00000196581,12528
ENSG00000131697,13167
ENSG00000069424,17329
ENSG00000116254,10094
ENSG00000285629,663
ENSG00000158286,6595
ENSG00000116237,4910
ENSG00000173673,710
ENSG00000158292,4198
ENSG00000097021,3500
ENSG00000069812,5407
ENSG00000187017,6952
ENSG00000215788,4263
ENSG00000171680,6935
ENSG00000162408,7271
ENSG00000173662,2764
ENSG00000204859,4510
ENSG00000162413,6901
ENSG00000116273,3632
ENSG00000041988,4072
ENSG00000007923,5083
ENSG00000171735,9903
ENSG00000049245,2733
ENSG00000049246,8099
ENSG00000049247,1793
ENSG00000049249,6354
ENSG00000116288,2397
ENSG00000116285,4179
ENSG00000162426,2600
ENSG00000142599,14112
ENSG00000074800,5216
ENSG00000131686,2662
ENSG00000197241,1539
ENSG00000142583,6632
ENSG00000180758,5304
ENSG00000049239,9322
ENSG00000171621,3389
ENSG00000171612,3865
ENSG00000188807,6981
ENSG00000171608,6333
ENSG00000171603,5241
ENSG00000178585,3339
ENSG00000162441,5459
ENSG00000173614,4610
ENSG00000162444,862
ENSG00000130939,9237
ENSG00000054523,17955
ENSG00000142657,3333
ENSG00000251503,2244
ENSG00000175279,1748
ENSG00000241563,914
ENSG00000160049,6625
ENSG00000142655,2932
ENSG00000130940,11336
ENSG00000175262,3573
ENSG00000120948,6187
ENSG00000009724,4257
ENSG00000116649,1894
ENSG00000171824,5991
ENSG00000198793,12163
ENSG00000171819,2224
ENSG00000120942,5090
ENSG00000204624,6120
ENSG00000116661,3163
ENSG00000132879,3527
ENSG00000116663,1735
ENSG00000116670,3324
ENSG00000162490,7365
ENSG00000177674,2435
ENSG00000215910,6499
ENSG00000177000,11513
ENSG00000011021,8173
ENSG00000175206,1120
ENSG00000120937,708
ENSG00000116685,3281
ENSG00000083444,5320
ENSG00000116688,10234
ENSG00000116691,2821
ENSG00000120949,3812
ENSG00000028137,3778
ENSG00000048707,20768
ENSG00000162496,3515
ENSG00000204518,2027
ENSG00000188984,4055
ENSG00000157330,4133
ENSG00000116726,2889
ENSG00000116721,2439
ENSG00000239810,1845
ENSG00000179172,1134
ENSG00000120952,1642
ENSG00000243073,1840
ENSG00000187545,1525
ENSG00000204510,1660
ENSG00000232423,1784
ENSG00000274764,1947
ENSG00000277058,1897
ENSG00000229571,1918
ENSG00000275774,1156
ENSG00000280267,1863
ENSG00000179412,1718
ENSG00000204505,2465
ENSG00000279169,2442
ENSG00000279804,2067
ENSG00000270601,1720
ENSG00000182330,1937
ENSG00000237700,1518
ENSG00000204501,1865
ENSG00000204481,2443
ENSG00000204480,1440
ENSG00000204479,1578
ENSG00000204478,1502
ENSG00000162494,2168
ENSG00000162493,3707
ENSG00000116731,10923
ENSG00000189337,13860
ENSG00000171729,2238
ENSG00000142621,12805
ENSG00000142634,2534
ENSG00000162438,3483
ENSG00000142615,1519
ENSG00000215704,1449
ENSG00000132906,5269
ENSG00000116138,8563
ENSG00000116771,3095
ENSG00000197312,12178
ENSG00000215695,1854
ENSG00000116786,4134
ENSG00000162461,3338
ENSG00000162460,1443
ENSG00000162458,4351
